SRNo			CarMake			NumberOfCars			TotalCost
---------------------------------------------------------------------------------------

1			Aptera			1			$37650.96
2			Nissan			2			$107807.69
3			Chevrolet		12			$546974.79
4			Ford			9			$371138.83999999997
5			Pontiac			3			$226668.75
6			Toyota			7			$230273.31999999998
7			Volvo			2			$164708.55
8			Mazda			10			$407079.37
9			Volkswagen		7			$488169.01999999996
10			Mitsubishi		2			$129725.35
11			Chrysler		2			$158187.68
12			Lincoln			2			$122787.28
13			Subaru			3			$158820.21000000002
14			Honda			2			$107712.28
15			Buick			2			$129686.05
16			Mercedes-Benz		2			$132099.63
17			Bentley			1			$72767.96
18			Cadillac		1			$88026.45
19			Dodge			3			$77938.57
20			BMW			2			$128975.48000000001
21			Suzuki			2			$135157.3
22			Austin			1			$5138.85
23			Lexus			2			$106255.25
24			Land Rover		4			$130211.04999999999
25			GMC			3			$145359.87
26			Scion			1			$9836.18
27			Porsche			2			$102969.19
28			Jeep			1			$51747.03
29			Rolls-Royce		1			$65323.57
30			Saturn			1			$70484.12
31			Lotus			1			$38668.29
32			Audi			1			$33564.7
33			Maybach			2			$77355.27
34			Mercury			1			$86016.0
35			Saab			1			$15710.11
